beta,problem,run,IGD,IGDX
0.5,MMF5,17,0.002698200208640434,0.07634327028331205
0.5,MMF5,16,0.0029597444507889342,0.07512442334763568
0.5,MMF5,20,0.00271972299432938,0.07023483225315989
0.5,MMF5,18,0.0026771918983489727,0.06689807161525185
0.5,MMF5,15,0.0025656954042167536,0.07075110996725277
0.5,MMF5,21,0.002667300888016059,0.07252048480832697
0.5,MMF5,22,0.0031193657731352427,0.07269851576113663
0.5,MMF5,23,0.0027057146480745716,0.06874488201706822
0.5,MMF5,24,0.002766418570243212,0.08091873290808889
0.5,MMF5,25,0.0027453945326292415,0.07444032367436089
0.5,MMF5,26,0.0028886151907664085,0.0740526390935905
0.5,MMF5,27,0.0028758618872106816,0.07664752705356506
1.0,MMF1,3,0.0031526353096760743,0.03998533261874054
1.0,MMF1,2,0.0032754173617811667,0.038759686480793656
0.5,MMF5,29,0.0028944302928334124,0.08454868162278487
0.5,MMF5,28,0.0028388074428290066,0.07242843189226215
